category_id,category
1,THE OLD TESTAMENT
2,SEAN SONG
3,CITY WALK
4,SLOGANEERING
5,ROOM
6,"""BOARD"""
31,WORLD HISTORY
32,SPIRITED CINEMA
33,TRANSPORTATION
34,"FISH, BIRD, OR MAMMAL"
35,PRUFROCKIAN PONDERINGS
36,"YOU GET AN ""A"""
61,COMIC BOOKS
62,WORLD RELIGION
63,THE EXPERIENCE MUSIC PROJECT
64,GROCERY SHOPPING
65,THE LARGEST IN AREA
66,FEATHERS
67,THE QUEEN'S ENGLISH
92,THE WAR OF 1812
93,HODGEPODGE
94,DOC TALK
95,BASEBALL: THE 1930s
96,WHO'S THE SUBJECT?
97,"""I"" CATCHING"
122,WAR MOVIES
123,LITTLE RED RIDING HOOD
124,SHORTWAVE
125,SMALL TOWN FOLKS
126,MICRONESIA
127,"A ""TINY"" CATEGORY"
128,MY NEWT
153,TALL BUILDINGS
154,SPORTS GIANTS
155,HEAPING PORTIONS
156,LOTS OF SPACE
157,THE VAST & THE FURIOUS
158,BIG WORDS
180,HISTORIC MEDIUMS
181,EUROPEAN CAPITALS
182,PRO FOOTBALL
183,PLANT THE EVIDENCE
184,ROYAL HOUSES
185,THE COIN BOX
186,"""M""-BRACE ME"
211,"DR. SEUSS MEETS THE BARD, REDUX"
212,CHARADES
213,19th CENTURY WOMEN
214,CONTRACTIONS
215,JAMES
216,"BOND, COMMON BOND"
241,PRESIDENTS
242,DETECTIVE FICTION
243,ANIMATED MOVIES
244,THE 20th CENTURY
245,SAM I AM
246,TOYS & GAMES
247,SCRAMBLED VEEPS
272,ASTRONOMY
273,MAGAZINES & NEWSPAPERS
274,THAT'S OUR ISLAND!!!
275,4-LETTER WORDS
276,@$&!
278,RADIO
301,PATRON SAINTS
302,RIVER SOURCES
303,CAR TREK
304,WHAT A CHARACTER!
305,POP CULTURE AMERICA
306,A PEANUTS TIMELINE
307,"YOU'RE ""GOLDEN"", BABY"
332,GEOLOGY
333,MUSIC
334,RELIGIOUS TITLES
335,FAMOUS KENTUCKIANS
336,MISHMASH
337,"ON THE ""PHONE"""
362,COUNTRY NAMES
363,NEW YORK CITY
364,SECONDS
365,"OH, FOR PETE'S SAKE!"
366,A PROVERBIAL MESS
367,OPERA
368,THE TALES OF HOFFMAN
393,19th CENTURY AMERICA
394,'80s SONGS
395,FLOWER POWER
396,RHYME TIME
397,CANADIAN PROVINCIAL CAPITALS
398,LET'S CUT TO THE CHASE
423,ALIASES
424,AFRICAN WILDLIFE
425,THOSE ROCKIN' '90s
426,FIRST NAME'S THE SAME
427,"RATED ""P.G."""
428,FEMMES FATALES
429,"DANGER, CURVES AHEAD"
454,AMERICAN LITERATURE
455,WHO PLAYED 'EM?
456,PAINTINGS
457,LONGSHOTS
458,YUCATAN LINES
459,"WORD ""PLA""Y"
484,BRITISH MONARCHS
485,NEW ZEALAND
486,SPORTS STARS
487,SPEAKING IN TONGUES
488,"IT'S IN ""DE"" DICTIONARY"
489,U.S. FACTS & FIGURES
490,PICK ONE
515,HISTORICAL PEOPLE
516,"""G"" MOVIES"
517,LISTEN TO THE ANIMALS
518,WE'LL GIVE YOU THE BLUES
519,MODERN DANCE
520,BEFORE & AFTER
544,AMERICAN AUTHORS
545,ASIAN HISTORY
546,WE LOVE BROADWAY
547,THAT'S YOUNG!
548,ISLANDS
549,CLASSIC GAMES
550,QUASI-RELATED PAIRS
571,MONTY PYTHON
572,BRING OUT YOUR DEAD
573,SPAM
574,SUMMARIZING PROUST
575,I'M A LUMBERJACK
576,"KNIGHTS WHO SAY ""NI"""
600,MARILYN MONROE MOVIES
601,IMAGINARY RACES
602,CHAMPIONSHIP MOVIES
603,NAMED FOR A FRENCH KING'S MISTRESS
604,ALSO A CURRENT SUPREME COURT JUSTICE
605,"ADD A ""PIN""CH"
606,FOR GOOD MEASURE
631,LET'S VISIT BOTSWANA
632,TV TITLE PAIRS
633,BIRTHIN' BABIES
634,BUSINESS
635,POLITICIANS
636,"""TOC"""
661,ART SUBJECTS
662,RECENT FICTION
