clue_id,player_id,answer
19,1,Who is Jeremiah?
24,3,What is pressboard?
38,2,Who is Tony Perkins?
39,3,What is coal?
44,1,What is Dawn of the Dead?
45,2,What is a torpedo?
53,1,What is his David?
74,5,Who is Isaiah?
77,5,What is Ohio?
81,1,What is Rastafarianism?
82,1,What is that they've put it out more recently so the expiration date's longer in the future?
86,4,What is a cameral?
94,1,What is farsightedness?
110,5,Who is Perry?
119,5,Who was Bill Blevins?
142,1,What is Voice of Africa?
153,1,What is Boston?
161,1,What is Big Boy?
161,6,What is... Cheesecake Company?
164,1,[Holding back laughter] What's a sphyg... sphnygnomometer?
169,1,What is prestidigitation?
181,1,What is Berlin?
191,9,What is Greenland?
203,1,What are Buffalo dimes?
206,1,What's the Silver Curtain?
210,1,What is Mississippi?
234,1,What are French things?
276,1,What are pounds?
276,11,What are shillings?
276,10,[no response]
277,1,What is the Earth's rotation?
295,10,Who was Halley?
297,1,What is Tribune Media?
298,10,What is...
299,10,What is his coffin?
323,12,"Who are Snap, Crackle & Pop?"
336,13,What is asparagus?
347,12,Bruce?
352,12,What is Bahá'i?
353,1,Who is Phyllis George?
358,1,What is Confucianism?
358,13,What is Shintoism?
358,12,What is Buddhism?
360,12,What are divisive issues?
375,15,"Well, I have a tough competitor, so let's bet all of it."
381,1,What are NYFD?
391,14,Who was Oscar Wilde?
405,1,What is Great Britain?
405,14,What is Canada?
405,15,What is France?
406,1,"What is ""Hey, [*]""?"
412,15,"What is ""Barracuda""?"
418,1,Oh.  What is C+C Music Factory?
428,17,Who is Salome?
430,1,What's an echidna?
447,16,What is Ann Arbor?
457,1,What is Vietnam?
466,17,"You can risk up to $2,000.  Your choice."
490,18,What is rhinoceros?
499,1,What is Egyptian?
501,1,What are savings and loans?
502,19,Who is Woolworth?
509,19,Who is Eisenhower?
509,18,Who's George Bush?
514,18,Who is Olds?
526,1,What is Elizabeth Windsor Cone?
529,1,What is a... servant?
533,1,Who is Marcus Aurelius?
537,19,Who is Isadora Duncan?
537,1,Who is Twyla Tharp?
546,1,"What is ""Puttin' On The Ritz""?"
557,1,Who is Nesmith?
557,20,Who is Davy Jones?
557,21,Who is Peter Tork?
565,20,What is pu...
569,1,What is... Blind Date?
570,21,What is stairs & steps?
597,1,Who is... Wiley Post?
612,22,What is a day?
612,23,What is a year?
622,23,Who is Robbins?
627,22,Who was Louis XVI?
634,22,What is the Tribune?
637,22,What is Swahili?
641,22,Who is Newt Gingrich?
643,23,"Uh, what are Dick?"
644,23,What is Coach?
656,23,What is McMillan and Wife?
657,24,What is Lamaze?
676,27,Who is Camus?
684,26,What is swing?
687,27,Who was Gooden?
687,25,Who was Hernandez?
691,27,What is ptomaine poisoning?
702,26,What is Vienna?
706,26,Who is Hamlet?
716,27,Who is Ghali?
748,28,What is a sinker?
750,29,Who is Titania?
750,30,Who is Mab?
751,30,What is... The Red Badge of Courage?
756,30,Who's Duke Ellington?
759,28,What is DNA?
759,30,What is fat?
768,30,Who is Gladstone?
773,28,Who is Plath?
775,29,I got nothin'.
788,33,What is the Army?
791,32,Who is Armstrong?
791,33,Who is Dizzy Gillespie?
791,31,Who is Morton?
792,32,What is 60?
803,33,Who is Ked Mo?
806,33,What is regent?
816,31,What is fold a flag?
822,33,What is make a magnet?
826,33,Who is Michael Chabon?
831,33,What is carjacking?
837,32,"Chris is saying, ""Bet it all, bet it all!  Come on, masterful Tom!"""
847,35,What is Harvard College?
855,35,What is Connecticut?
865,36,Who is Falstaff?
869,34,What is Kilauea?
881,35,What is Pennsylvania?
884,36,Who is Webster?
897,36,What is Proverbs?
898,36,Who are fools and little children?
901,36,Who is No Dien Giap?
904,36,What is The Portrait of Dorian Gray?
908,28,What is Russia?
908,26,What is Cambodia?
923,26,What are the Cowardly Lion and King?
930,26,What is Aslan?
951,31,Who is Captain Morgan?
952,28,Who is Dalí?
960,26,Who is Gene Autry?
967,27,What is Spain?
987,35,What is the Voltava?
992,33,Who are The Strokes?
1000,33,What is 30?
1013,33,Who is Nome?
1016,27,Who is Rembrandt?
1045,32,What is love is heaven?
1046,24,Who is Tiberius?
1046,32,Who is Caligula?
1049,32,What is a lychee?
1050,32,What is the South Beach Diet?
1076,32,What is nightshade?
1085,32,Who is Jude the Obscure?--What is...
1086,25,What is Chavez?
1090,31,Who is Jim Carrey?
1092,27,What are Switzerland and Austria?
1092,31,What are Switzerland and France?
1099,24,What is mochaccino?
1099,31,What is a latte?
1113,24,What is communism?
1127,24,Who is Dido?
1129,31,What are the arms?
1129,24,What are the hands?
1140,24,Who is Bellini?
1152,24,What are flamingos?
1167,31,"[After Arthur selects TAKE IN ORDER! $600] You're gonna stick with it?  Good for you, Arthur."
1172,24,What is The Song of Roland?
1180,24,What is a differential?
1197,27,What is a mainsail?
1203,27,What are the Puritans?
1209,24,What is clam?
1226,37,What is owner?
1229,38,What are radioactive elements?
1237,38,What is central?
1240,1,What is to evaporate it?
1245,1,No idea!  [Laughs]
1248,1,Who is Jack London?
1249,1,What is a buffer?
1259,1,What is the... [shakes head]
1261,1,What is ultrasonic?
1270,37,What is dry weight?
1272,1,What is a pen?
1283,39,[No response]
1286,1,What is Mercury?
1289,40,What is mummy?
1290,1,What's a computer?
1317,1,"[Smirks, pauses, and then, with flourish] Uh, what is ravish her?"
1331,39,What is Essex?
1346,41,Who is Barney Gumble?
1357,42,What is Byrd?
1362,1,What is chez?
1379,1,Who is Art Linkletter?
1400,1,What is Sweden?
1406,1,What is the horse?
1418,44,What is rowing?
1438,1,Who is Strauss?
1442,44,What is the Common Core?
1455,1,What is beer?
1456,1,What's a hoe?
1458,1,Who is Picasso?
1467,45,Who is Winston Churchill?
1473,1,Who is Velázquez?
1478,46,What is sword?
1480,1,What are tweezers?
1502,1,What is apple?
1516,48,Who is Leif Ericson?
1536,47,What is Jiffy Pop?
1537,47,What is Mardi Gras?
1542,1,What is Capri Sun?
1549,1,What's a penny?
1560,1,What are the Ozarks?
1560,48,What are the Blue Ridge?
1566,47,What is Atchison?
1581,50,What is two?
1581,1,What is one of each?
1601,50,"What is ""declaration""?"
1603,1,"What is, uh, sole?"
1604,50,What is Oliver Twist?
1605,1,What is nine?
1613,1,Who is... Stanley?
1617,1,Who is Rita Hayworth?
1623,49,What is a caftan?
1625,49,Who is Magellan?
1631,49,Who is George Carlin?
1644,51,What are one dollar bills?
1644,1,What's a $400 bill?
1644,52,What's a $200 bill?
1655,51,"Uh, what is Kansas City?"
