clue_id,player_id,answer,wager,is_correct
61,3,What is Superman?,1801,0
61,2,What is Superman?,1401,0
61,1,What is Captain Marvel?,21599,0
122,5,Who is Stephen Crane?,9600,0
122,4,Who is J. Conrad?,8401,1
122,1,Who is Heller?,6600,0
180,6,Who are Houdini + Hemingway,3000,0
180,7,Who are Houdini + ?,0,0
180,1,Who are Houdini and Fitzgerald?,6400,0
241,9,Who is Kennedy and Taft?,0,0
241,8,Who are JFK and J. Q. Adams?,1001,0
241,1,Who are JFK and Cleveland,6600,0
301,11,Who is ?,2599,0
301,10,Who is St. Thomas More?,0,1
301,1,Who is Thomas More?,1400,1
362,13,What is Ecuador?,1999,1
362,1,¿What is Ecuador?,6200,1
423,14,Who is Rowe?,1399,1
423,15,Who is Roe?,100,1
423,1,Who is Roe?,9000,1
484,17,Who was Elizabeth I,1700,0
484,16,Who was George III?,600,1
484,1,Who was George IV,6200,0
544,18,Who is F. Scott Fitzgerald,5500,0
544,19,Who is Ernest Hemmingway?,4401,1
544,1,Who is Hemingway?,6400,1
600,21,What is Niagara?,800,1
600,20,What is [Ghostbusters crossed out] Niagara,599,1
600,1,What is Niagara?,12000,1
661,23,What is Paris?,1700,0
661,22,What is Berlin?,3700,0
661,24,What is Bruges?,0,0
722,26,Who was Cleveland?,5300,1
722,25,Who is Cleveland?,4700,1
722,27,Who is Cleveland?,801,1
783,30,What is Turkmenistan?,5001,0
783,28,What is Ukraine?,400,0
783,29,What is Ukraine?,9000,0
844,33,What is the Lusitania?,2000,1
844,31,What is Lusitania?,6000,1
844,32,What was the Lusitania?,100,1
905,34,Who was Herriot?,0,0
905,36,Who is A. A. Milne?,2600,0
905,35,Who is E. B. White?,1401,0
966,26,What is Gone with the Wind?,3400,1
966,31,What is Gone with the Wind?,2499,1
966,28,What is The Yearling?,7401,0
1027,27,Who is Ferlinghetti,2901,1
1027,35,Who was Ferlinghetti?,0,1
1027,33,Who is Ginsberg?,13201,0
1088,25,Who is Edwin Booth?,0,0
1088,32,Who was [a zigzag that resembles WVthm],15200,0
1088,24,Who is John Wilkes Booth?,15000,1
1149,24,What is the ADA?,7200,0
1149,31,What is TSA?,3600,0
1149,27,What is USA PATRIOT Act?,3000,1
1210,24,What are tin pans?,6200,1
1210,27,What are tin pans?,3000,1
1210,31,What are tin pans?,10250,1
1271,38,Who are Longfellow and Cooper,4900,0
