game_id,player_id,place,first_break_score,first_round_score,second_round_score,final_score,coryat_score
1,2,2.0,1800.0,3400.0,5000.0,3599.0,5000.0
1,3,3.0,1600.0,800.0,3200.0,1399.0,3200.0
1,1,1.0,4800.0,13800.0,31600.0,10001.0,29600.0
2,4,2.0,-800.0,6000.0,10800.0,19201.0,8800.0
2,5,3.0,1000.0,2200.0,9600.0,0.0,7400.0
2,1,1.0,1800.0,5800.0,28400.0,21800.0,25800.0
3,6,3.0,1000.0,1000.0,3200.0,200.0,4200.0
3,7,2.0,800.0,1600.0,8800.0,8800.0,8800.0
3,1,1.0,7200.0,16400.0,33600.0,27200.0,26400.0
4,8,2.0,600.0,3000.0,9400.0,8399.0,9400.0
4,9,3.0,600.0,400.0,5200.0,5200.0,5200.0
4,1,1.0,4800.0,8100.0,28400.0,21800.0,33400.0
5,10,2.0,3200.0,6000.0,6000.0,6000.0,6000.0
5,11,3.0,0.0,600.0,2600.0,1.0,2600.0
5,1,1.0,5800.0,13600.0,28600.0,30000.0,28600.0
6,12,3.0,0.0,1800.0,-4800.0,-4800.0,-1800.0
6,13,2.0,0.0,0.0,2000.0,3999.0,2000.0
6,1,1.0,6000.0,16600.0,38800.0,45000.0,32200.0
7,14,3.0,0.0,200.0,1400.0,2799.0,1400.0
7,15,2.0,1000.0,1800.0,3400.0,3500.0,4800.0
7,1,1.0,5000.0,11200.0,31000.0,40000.0,26800.0
8,16,2.0,400.0,0.0,4400.0,5000.0,6400.0
8,17,3.0,0.0,800.0,1700.0,0.0,3200.0
8,1,1.0,6000.0,11400.0,43800.0,37600.0,37000.0
9,18,3.0,-400.0,1000.0,5800.0,300.0,5800.0
9,19,2.0,-1000.0,1600.0,6200.0,10601.0,5200.0
9,1,1.0,3800.0,9000.0,23600.0,30000.0,20400.0
10,20,2.0,200.0,-200.0,2600.0,3199.0,2600.0
10,21,3.0,-1000.0,-1000.0,1000.0,1800.0,1000.0
10,1,1.0,5200.0,10200.0,38000.0,50000.0,35800.0
11,22,2.0,1400.0,1200.0,7200.0,3500.0,7200.0
11,23,3.0,500.0,2500.0,1700.0,0.0,2200.0
11,24,1.0,2000.0,5400.0,16200.0,16200.0,18200.0
12,25,2.0,200.0,1000.0,6200.0,10900.0,6200.0
12,26,3.0,1200.0,100.0,5300.0,10600.0,9400.0
12,27,1.0,2600.0,4000.0,11600.0,12401.0,13600.0
13,28,1.0,1600.0,3800.0,10600.0,10200.0,10800.0
13,29,2.0,2000.0,3200.0,11000.0,2000.0,14000.0
13,30,3.0,2800.0,2400.0,5600.0,599.0,5600.0
14,31,2.0,2000.0,2000.0,6400.0,12400.0,6400.0
14,32,1.0,5200.0,7800.0,20000.0,20100.0,21000.0
14,33,3.0,2000.0,2000.0,2000.0,4000.0,5200.0
15,34,3.0,400.0,0.0,2400.0,2400.0,2400.0
15,35,1.0,1000.0,2600.0,9000.0,7599.0,11000.0
15,36,2.0,3600.0,4000.0,5200.0,2600.0,5800.0
16,28,3.0,4600.0,6000.0,11200.0,3799.0,12400.0
16,26,2.0,-200.0,200.0,3400.0,6800.0,3400.0
16,31,1.0,2400.0,6400.0,9300.0,11799.0,12800.0
17,33,3.0,2400.0,5200.0,16200.0,2999.0,17200.0
17,35,2.0,2800.0,4100.0,14700.0,14700.0,15400.0
17,27,1.0,0.0,3400.0,11800.0,14701.0,11800.0
18,25,2.0,1800.0,3200.0,7600.0,7600.0,7600.0
18,24,1.0,3200.0,4800.0,16400.0,31400.0,16400.0
18,32,3.0,-200.0,4400.0,15200.0,0.0,11200.0
19,31,2.0,1800.0,1600.0,13200.0,9600.0,13200.0
19,27,1.0,2600.0,5200.0,16700.0,19700.0,16800.0
19,24,3.0,1800.0,5200.0,7200.0,0.0,8200.0
20,31,1.0,2000.0,5800.0,17600.0,27850.0,15600.0
20,27,3.0,0.0,1200.0,8800.0,11800.0,10000.0
20,24,2.0,2200.0,2600.0,6200.0,12400.0,6200.0
21,37,3.0,800.0,800.0,-800.0,-800.0,-800.0
21,38,2.0,2400.0,2400.0,14800.0,9900.0,15800.0
21,1,1.0,1200.0,7600.0,19700.0,29601.0,17600.0
22,39,3.0,2000.0,2600.0,2200.0,1.0,2200.0
22,40,2.0,2000.0,4600.0,9000.0,13500.0,9000.0
22,1,1.0,2400.0,5200.0,28600.0,35038.0,28800.0
23,41,3.0,1600.0,1400.0,4600.0,2220.0,4600.0
23,42,2.0,-200.0,-200.0,3400.0,6799.0,3400.0
23,1,1.0,4800.0,14200.0,49200.0,38400.0,32600.0
24,43,3.0,1400.0,2200.0,7000.0,3000.0,7000.0
24,44,2.0,0.0,5000.0,10600.0,7199.0,9000.0
24,1,1.0,7600.0,9400.0,33600.0,40000.0,27800.0
25,45,3.0,-600.0,200.0,2600.0,5200.0,2600.0
25,46,2.0,600.0,600.0,5400.0,5300.0,5400.0
25,1,1.0,4400.0,14000.0,45000.0,30000.0,36400.0
26,47,2.0,400.0,2400.0,4000.0,4801.0,6000.0
26,48,3.0,800.0,1400.0,2400.0,4400.0,3000.0
26,1,1.0,6200.0,9600.0,26000.0,35000.0,26000.0
27,49,3.0,800.0,1800.0,400.0,400.0,1400.0
27,50,2.0,0.0,-200.0,4600.0,8100.0,4600.0
27,1,1.0,5400.0,6000.0,26000.0,35000.0,27200.0
28,51,3.0,1600.0,2400.0,1200.0,2400.0,1200.0
28,52,2.0,2000.0,2400.0,14000.0,3000.0,11600.0
28,1,1.0,3200.0,7800.0,28200.0,28300.0,23600.0
29,53,3.0,200.0,1800.0,6600.0,0.0,5800.0
29,54,2.0,600.0,1600.0,6800.0,399.0,6800.0
29,1,1.0,7500.0,11300.0,24800.0,29900.0,22400.0
30,55,3.0,800.0,2200.0,4600.0,100.0,4600.0
30,56,2.0,-1000.0,-1200.0,7000.0,4800.0,5200.0
30,1,1.0,1800.0,11200.0,34600.0,40000.0,29400.0
31,57,2.0,1200.0,1600.0,8800.0,9600.0,8800.0
31,58,3.0,1600.0,2000.0,4400.0,0.0,4400.0
31,59,1.0,1800.0,8600.0,17800.0,19800.0,17800.0
32,60,1.0,3000.0,6600.0,13800.0,14800.0,15000.0
32,61,2.0,2000.0,5000.0,14500.0,9000.0,14400.0
32,62,3.0,1600.0,2400.0,9600.0,3600.0,9600.0
33,63,1.0,2400.0,4300.0,14000.0,11000.0,15000.0
33,64,3.0,-800.0,0.0,5200.0,200.0,5200.0
33,65,2.0,2800.0,5200.0,12200.0,9000.0,13200.0
34,66,2.0,600.0,2500.0,8100.0,5201.0,8400.0
34,67,1.0,4600.0,6800.0,18600.0,17200.0,23200.0
34,68,3.0,600.0,2200.0,2600.0,2200.0,2600.0
35,69,2.0,1200.0,2000.0,2000.0,3500.0,2000.0
35,70,3.0,0.0,0.0,-2000.0,-2000.0,-1000.0
35,71,1.0,2200.0,5200.0,8400.0,12000.0,8400.0
36,72,2.0,2400.0,3800.0,11500.0,11201.0,10200.0
36,73,3.0,-200.0,800.0,5600.0,600.0,5600.0
36,1,1.0,5800.0,10400.0,27200.0,30000.0,27800.0
37,74,3.0,0.0,400.0,-2400.0,-2400.0,-1400.0
37,75,2.0,1600.0,1600.0,10800.0,5500.0,10800.0
37,1,1.0,2200.0,5400.0,18200.0,25000.0,17400.0
38,76,3.0,800.0,2000.0,12200.0,0.0,8400.0
38,77,2.0,2800.0,4600.0,17000.0,24401.0,17000.0
38,1,1.0,3400.0,9400.0,25200.0,34001.0,22200.0
39,78,3.0,2800.0,2600.0,1800.0,3599.0,1800.0
39,79,2.0,1000.0,3600.0,9600.0,4200.0,10800.0
39,1,1.0,2800.0,5600.0,26600.0,30000.0,21200.0
40,80,3.0,400.0,800.0,9600.0,5100.0,9600.0
40,81,2.0,200.0,2600.0,7000.0,5300.0,7000.0
40,1,1.0,4800.0,11000.0,25600.0,30000.0,26600.0
41,82,2.0,600.0,3800.0,6600.0,13100.0,6600.0
41,83,3.0,1800.0,3200.0,7600.0,1999.0,7600.0
41,1,1.0,2800.0,7600.0,30800.0,26600.0,29600.0
42,84,3.0,1200.0,3200.0,6800.0,2999.0,6800.0
42,85,2.0,1000.0,1800.0,3800.0,6001.0,3800.0
42,1,1.0,4200.0,11200.0,37600.0,45099.0,31800.0
43,86,3.0,0.0,-200.0,-2200.0,-2200.0,-2200.0
43,87,2.0,1600.0,1800.0,9800.0,1.0,9800.0
43,1,1.0,5800.0,10000.0,40000.0,50000.0,27200.0
44,88,2.0,1600.0,1600.0,4800.0,5100.0,4800.0
44,89,3.0,400.0,1400.0,2200.0,100.0,2200.0
44,1,1.0,6400.0,9600.0,42800.0,25600.0,36000.0
45,90,3.0,200.0,1400.0,200.0,1.0,200.0
45,91,2.0,1800.0,5800.0,16600.0,29100.0,16600.0
45,1,1.0,5000.0,5000.0,27600.0,33201.0,26600.0
46,92,2.0,1000.0,1400.0,1800.0,1300.0,1800.0
46,93,3.0,-200.0,1600.0,200.0,1.0,1200.0
46,1,1.0,7800.0,13000.0,24600.0,19200.0,28400.0
47,94,3.0,4400.0,5800.0,3400.0,6800.0,13400.0
47,95,2.0,1400.0,8600.0,11400.0,22800.0,9200.0
47,1,1.0,3000.0,3200.0,26800.0,30000.0,24400.0
48,96,2.0,1200.0,2200.0,7000.0,14000.0,7000.0
48,97,3.0,1600.0,3800.0,8600.0,11000.0,8600.0
48,98,1.0,3600.0,9600.0,30205.0,31542.0,30400.0
49,99,1.0,1800.0,4600.0,10200.0,9400.0,12200.0
49,100,2.0,4700.0,6300.0,11500.0,7500.0,10800.0
49,101,3.0,800.0,2000.0,5800.0,0.0,5200.0
50,102,3.0,1000.0,3000.0,3600.0,0.0,5400.0
50,103,1.0,6200.0,10400.0,13200.0,13203.0,13200.0
50,104,2.0,800.0,2600.0,5000.0,10000.0,5000.0
51,105,3.0,1200.0,2600.0,6200.0,11200.0,8200.0
51,106,2.0,3200.0,5200.0,6800.0,13600.0,6800.0
51,107,1.0,3600.0,8000.0,26400.0,30000.0,27600.0
52,108,2.0,-600.0,5400.0,8200.0,400.0,8200.0
52,109,3.0,2000.0,3400.0,5400.0,0.0,5400.0
52,110,1.0,3200.0,5400.0,19600.0,22100.0,16800.0
53,99,3.0,400.0,3200.0,7600.0,0.0,7600.0
53,106,1.0,800.0,4200.0,13300.0,21601.0,15800.0
53,96,2.0,8000.0,9200.0,10800.0,15933.0,12000.0
54,97,3.0,3800.0,3400.0,10600.0,21200.0,10600.0
54,110,1.0,2400.0,6400.0,16800.0,23600.0,16400.0
54,107,2.0,3000.0,6000.0,13000.0,21201.0,10400.0
55,105,3.0,1000.0,2200.0,9000.0,2.0,8600.0
55,103,2.0,2800.0,5400.0,7800.0,15600.0,7800.0
55,98,1.0,1400.0,7400.0,28200.0,29241.0,27400.0
56,106,2.0,1200.0,1200.0,8800.0,2600.0,8800.0
56,110,3.0,2800.0,5000.0,5800.0,2000.0,5800.0
56,98,1.0,1200.0,9400.0,17400.0,13800.0,15800.0
