game_id,air_number,air_date,game_data_complete,notes
1,4596,2004-09-06,1,"Ken Jennings game 39.
First game of Season 21.  New title graphics."
2,4597,2004-09-07,1,Ken Jennings game 40.
3,4598,2004-09-08,1,Ken Jennings game 41.
4,4599,2004-09-09,1,Ken Jennings game 42.
5,4600,2004-09-10,1,Ken Jennings game 43.
6,4601,2004-09-13,1,Ken Jennings game 44.
7,4602,2004-09-14,1,Ken Jennings game 45.
8,4603,2004-09-15,1,Ken Jennings game 46.
9,4604,2004-09-16,1,Ken Jennings game 47.
10,4605,2004-09-17,1,Ken Jennings game 48.
11,4606,2004-09-20,1,2004 Tournament of Champions quarterfinal game 1.
12,4607,2004-09-21,1,2004 Tournament of Champions quarterfinal game 2.
13,4608,2004-09-22,1,2004 Tournament of Champions quarterfinal game 3.
14,4609,2004-09-23,1,2004 Tournament of Champions quarterfinal game 4.
15,4610,2004-09-24,1,2004 Tournament of Champions quarterfinal game 5.
16,4611,2004-09-27,1,2004 Tournament of Champions semifinal game 1.
17,4612,2004-09-28,1,2004 Tournament of Champions semifinal game 2.
18,4613,2004-09-29,1,2004 Tournament of Champions semifinal game 3.
19,4614,2004-09-30,1,2004 Tournament of Champions final game 1.
20,4615,2004-10-01,1,2004 Tournament of Champions final game 2.
21,4616,2004-10-04,1,"Ken Jennings game 49.
The first regular play game of Season 21 to be recorded after the summer hiatus."
22,4617,2004-10-05,1,Ken Jennings game 50.
23,4618,2004-10-06,1,Ken Jennings game 51.
24,4619,2004-10-07,1,Ken Jennings game 52.
25,4620,2004-10-08,1,Ken Jennings game 53.
26,4621,2004-10-11,1,"Ken Jennings game 54.

(Cheryl: Go to outer space without leaving your couch.  Clues from Chicago's Adler Planetarium, next on Jeopardy!)"
27,4622,2004-10-12,1,"Ken Jennings game 55.

(Jimmy: Howdy!  Come along and sing some cowboy songs, next on Jeopardy!  Come on, let's go!)"
28,4623,2004-10-13,1,Ken Jennings game 56.
29,4624,2004-10-14,1,"Ken Jennings game 57.

(Tie Domi: Hi, I'm Tie Domi of the Toronto Maple Leafs.  Watch Jeopardy! or you're gonna have to drop the gloves with me.)
(Alex: Come on.  You want a piece of this, huh?)"
30,4625,2004-10-15,1,Ken Jennings game 58.
31,4626,2004-10-18,1,2004-B Kids Week game 1.
32,4627,2004-10-19,1,2004-B Kids Week game 2.
33,4628,2004-10-20,1,2004-B Kids Week game 3.
34,4629,2004-10-21,1,2004-B Kids Week game 4.
35,4630,2004-10-22,1,2004-B Kids Week game 5.
36,4631,2004-10-25,1,"Ken Jennings game 59.

Ken breaks the $2 million mark."
37,4632,2004-10-26,1,Ken Jennings game 60.
38,4633,2004-10-27,1,Ken Jennings game 61.
39,4634,2004-10-28,1,Ken Jennings game 62.
40,4635,2004-10-29,1,"Ken Jennings game 63.
Ken gets his tenth consecutive correct Final Jeopardy! response."
41,4636,2004-11-01,1,Ken Jennings game 64.
42,4637,2004-11-03,1,"Ken Jennings game 65.  Ken breaks Kevin Olmstead's record for biggest amount of money won on a television game show.
U.S. presidential election coverage bumped this game's airing by one day.  Affiliates with no election coverage aired the ""4,000th Episode"" special (#4088) on 2004-11-02."
43,4638,2004-11-04,1,Ken Jennings game 66.
44,4639,2004-11-05,1,Ken Jennings game 67.
45,4640,2004-11-06,1,"Ken Jennings game 68.
U.S. presidential election coverage on 2004-11-02 bumped airdates for games this week by one day, resulting in a Saturday airdate for an original episode."
46,4641,2004-11-08,1,Ken Jennings game 69.
47,4642,2004-11-09,1,Ken Jennings game 70.
48,4643,2004-11-10,1,2004 College Championship quarterfinal game 1.
